X,Y
-3.720547945,13
-3.717808219,13.3
-3.715068493,12.1
-3.712328767,12.4
-3.709589041,13.2
-3.706849315,13.8
-3.704109589,10.6
-3.701369863,9
-3.698630137,10
-3.695890411,9.8
-3.693150685,11.5
-3.690410959,8.9
-3.687671233,7.4
-3.684931507,9.9
-3.682191781,9.3
-3.679452055,9.9
-3.676712329,7.4
-3.673972603,8.6
-3.671232877,11.9
-3.668493151,14
-3.665753425,8.6
-3.663013699,10
-3.660273973,13.5
-3.657534247,12
-3.654794521,10.5
-3.652054795,10.7
-3.649315068,8.1
-3.646575342,10.1
-3.643835616,10.6
-3.64109589,5.3
-3.638356164,6.6
-3.635616438,8.5
-3.632876712,11.2
-3.630136986,9.8
-3.62739726,5.9
-3.624657534,3.2
-3.621917808,2.1
-3.619178082,3.4
-3.616438356,5.4
-3.61369863,9.6
-3.610958904,11.5
-3.608219178,12.3
-3.605479452,12.6
-3.602739726,11
-3.6,11.2
-3.597260274,11.4
-3.594520548,11.8
-3.591780822,12.8
-3.589041096,11.6
-3.58630137,10.6
-3.583561644,9.8
-3.580821918,11.2
-3.578082192,5.7
-3.575342466,7.1
-3.57260274,2.5
-3.569863014,3.5
-3.567123288,4.6
-3.564383562,11
-3.561643836,5.7
-3.55890411,7.7
-3.556164384,10.4
-3.553424658,11.4
-3.550684932,9.2
-3.547945205,6.1
-3.545205479,2.7
-3.542465753,4.3
-3.539726027,6.3
-3.536986301,3.8
-3.534246575,4.4
-3.531506849,7.1
-3.528767123,4.8
-3.526027397,5.8
-3.523287671,6.2
-3.520547945,7.3
-3.517808219,9.2
-3.515068493,10.2
-3.512328767,9.5
-3.509589041,9.5
-3.506849315,10.7
-3.504109589,10
-3.501369863,6.5
-3.498630137,7
-3.495890411,7.4
-3.493150685,8.1
-3.490410959,6.6
-3.487671233,8.3
-3.484931507,8.9
-3.482191781,4.6
-3.479452055,6.8
-3.476712329,5.7
-3.473972603,6.1
-3.471232877,7
-3.468493151,7.2
-3.465753425,6.3
-3.463013699,8.8
-3.460273973,5
-3.457534247,7.4
-3.454794521,10.1
-3.452054795,12
-3.449315068,9
-3.446575342,8.9
-3.443835616,9.8
-3.44109589,9
-3.438356164,9.2
-3.435616438,7.7
-3.432876712,8
-3.430136986,6.1
-3.42739726,3.5
-3.424657534,3.2
-3.421917808,5.7
-3.419178082,7.7
-3.416438356,9
-3.41369863,10
-3.410958904,6.2
-3.408219178,6.9
-3.405479452,6.5
-3.402739726,6.8
-3.4,7
-3.397260274,5.2
-3.394520548,3
-3.391780822,5.6
-3.389041096,7.9
-3.38630137,9
-3.383561644,8.6
-3.380821918,10.3
-3.378082192,10.5
-3.375342466,7.6
-3.37260274,9.7
-3.369863014,12.5
-3.367123288,7.4
-3.364383562,7.9
-3.361643836,3.9
-3.35890411,6.6
-3.356164384,4.6
-3.353424658,7
-3.350684932,6
-3.347945205,5.5
-3.345205479,8.1
-3.342465753,5.5
-3.339726027,6.2
-3.336986301,8
-3.334246575,10.3
-3.331506849,9.8
-3.328767123,9.6
-3.326027397,8.5
-3.323287671,7.5
-3.320547945,11.2
-3.317808219,14.6
-3.315068493,11.7
-3.312328767,7.8
-3.309589041,12.3
-3.306849315,10.1
-3.304109589,11.5
-3.301369863,7.3
-3.298630137,10.9
-3.295890411,14.1
-3.293150685,10.7
-3.290410959,16.9
-3.287671233,10.5
-3.284931507,6.5
-3.282191781,11
-3.279452055,6.3
-3.276712329,10.5
-3.273972603,7.2
-3.271232877,7.6
-3.268493151,10.7
-3.265753425,7.8
-3.263013699,9.6
-3.260273973,11.4
-3.257534247,12.4
-3.254794521,8.9
-3.252054795,13.2
-3.249315068,8.6
-3.246575342,6.2
-3.243835616,11.4
-3.24109589,13.2
-3.238356164,14.3
-3.235616438,7.3
-3.232876712,12.9
-3.230136986,7.8
-3.22739726,6.2
-3.224657534,5.6
-3.221917808,10
-3.219178082,13.3
-3.216438356,8.3
-3.21369863,10.2
-3.210958904,8.6
-3.208219178,7.3
-3.205479452,10.4
-3.202739726,11.2
-3.2,13.2
-3.197260274,11.4
-3.194520548,9.1
-3.191780822,6.6
-3.189041096,8.4
-3.18630137,9.7
-3.183561644,13.2
-3.180821918,12.5
-3.178082192,11
-3.175342466,11
-3.17260274,11.7
-3.169863014,9.2
-3.167123288,11.5
-3.164383562,13.6
-3.161643836,13.7
-3.15890411,10.4
-3.156164384,11.5
-3.153424658,7.6
-3.150684932,9.6
-3.147945205,14.2
-3.145205479,15.7
-3.142465753,10.5
-3.139726027,10.5
-3.136986301,9.7
-3.134246575,9.5
-3.131506849,11.3
-3.128767123,8.9
-3.126027397,9.4
-3.123287671,11.9
-3.120547945,11.7
-3.117808219,13.4
-3.115068493,12.6
-3.112328767,10.1
-3.109589041,15.8
-3.106849315,13.6
-3.104109589,11.9
-3.101369863,9.9
-3.098630137,12.6
-3.095890411,17.8
-3.093150685,15
-3.090410959,13.6
-3.087671233,13.4
-3.084931507,10.5
-3.082191781,14.2
-3.079452055,11.5
-3.076712329,13
-3.073972603,15
-3.071232877,14.7
-3.068493151,12.6
-3.065753425,12.5
-3.063013699,13.5
-3.060273973,14.8
-3.057534247,17.2
-3.054794521,9.7
-3.052054795,12.1
-3.049315068,12.8
-3.046575342,11.2
-3.043835616,16.4
-3.04109589,15.6
-3.038356164,13.3
-3.035616438,11
-3.032876712,11.1
-3.030136986,15
-3.02739726,12.8
-3.024657534,15
-3.021917808,14.2
-3.019178082,14
-3.016438356,15.5
-3.01369863,13.3
-3.010958904,15.6
-3.008219178,15.2
-3.005479452,17.4
-3.002739726,17
-3,15
-2.997260274,13.5
-2.994520548,15.2
-2.991780822,13
-2.989041096,12.5
-2.98630137,14.1
-2.983561644,14.8
-2.980821918,16.2
-2.978082192,15.8
-2.975342466,19.1
-2.97260274,22.2
-2.969863014,15.9
-2.967123288,13
-2.964383562,14.1
-2.961643836,15.8
-2.95890411,24
-2.956164384,18
-2.953424658,19.7
-2.950684932,25.2
-2.947945205,20.5
-2.945205479,19.3
-2.942465753,15.8
-2.939726027,17
-2.936986301,18.4
-2.934246575,13.3
-2.931506849,14.6
-2.928767123,12.5
-2.926027397,17
-2.923287671,17.1
-2.920547945,14
-2.917808219,14.6
-2.915068493,13.3
-2.912328767,14.8
-2.909589041,15.1
-2.906849315,13.1
-2.904109589,13.6
-2.901369863,19.5
-2.898630137,22.7
-2.895890411,17.2
-2.893150685,13.5
-2.890410959,15.4
-2.887671233,17
-2.884931507,19.2
-2.882191781,22.8
-2.879452055,26.3
-2.876712329,18.2
-2.873972603,17
-2.871232877,14.8
-2.868493151,12.8
-2.865753425,15.5
-2.863013699,15.6
-2.860273973,13.1
-2.857534247,15.2
-2.854794521,14.1
-2.852054795,12.5
-2.849315068,14.6
-2.846575342,10.4
-2.843835616,13.9
-2.84109589,11.9
-2.838356164,13.5
-2.835616438,9.8
-2.832876712,14
-2.830136986,21.5
-2.82739726,19.5
-2.824657534,16.7
-2.821917808,19.1
-2.819178082,11
-2.816438356,9
-2.81369863,10
-2.810958904,14.6
-2.808219178,12.5
-2.805479452,17.2
-2.802739726,19.2
-2.8,22.2
-2.797260274,15.7
-2.794520548,14.2
-2.791780822,9.8
-2.789041096,14
-2.78630137,17.5
-2.783561644,20.7
-2.780821918,15.6
-2.778082192,13.2
-2.775342466,14.5
-2.77260274,16.8
-2.769863014,17.2
-2.767123288,13.4
-2.764383562,14.2
-2.761643836,14.3
-2.75890411,10.2
-2.756164384,10.4
-2.753424658,12.3
-2.750684932,11.9
-2.747945205,11.2
-2.745205479,8.5
-2.742465753,12
-2.739726027,12.4
-2.736986301,12.9
-2.734246575,10.1
-2.731506849,15
-2.728767123,13.6
-2.726027397,12.4
-2.723287671,13.6
-2.720547945,16.1
-2.717808219,19.5
-2.715068493,14.2
-2.712328767,9.3
-2.709589041,10.1
-2.706849315,7.4
-2.704109589,8.6
-2.701369863,7.8
-2.698630137,9.1
-2.695890411,13
-2.693150685,16.5
-2.690410959,12.9
-2.687671233,6.9
-2.684931507,6.9
-2.682191781,8.7
-2.679452055,10
-2.676712329,10.8
-2.673972603,7.5
-2.671232877,6.3
-2.668493151,11.9
-2.665753425,13.8
-2.663013699,11.8
-2.660273973,11
-2.657534247,10.1
-2.654794521,8.5
-2.652054795,5.5
-2.649315068,7.6
-2.646575342,8.7
-2.643835616,10.8
-2.64109589,11.2
-2.638356164,9.1
-2.635616438,3.7
-2.632876712,4.6
-2.630136986,6.6
-2.62739726,13.2
-2.624657534,15.2
-2.621917808,7.6
-2.619178082,8.4
-2.616438356,6
-2.61369863,8.3
-2.610958904,8.6
-2.608219178,11.1
-2.605479452,12.1
-2.602739726,12.9
-2.6,14
-2.597260274,12.5
-2.594520548,11.5
-2.591780822,7
-2.589041096,7.1
-2.58630137,9
-2.583561644,3.1
-2.580821918,2.5
-2.578082192,0
-2.575342466,1.6
-2.57260274,2.6
-2.569863014,5.7
-2.567123288,2.3
-2.564383562,4.5
-2.561643836,8.2
-2.55890411,6.9
-2.556164384,7.3
-2.553424658,6
-2.550684932,7.3
-2.547945205,7.6
-2.545205479,8
-2.542465753,8
-2.539726027,6.8
-2.536986301,7.3
-2.534246575,6.2
-2.531506849,6.9
-2.528767123,8.9
-2.526027397,4
-2.523287671,1.3
-2.520547945,0.8
-2.517808219,4.3
-2.515068493,7.3
-2.512328767,7.7
-2.509589041,9
-2.506849315,4.2
-2.504109589,1.6
-2.501369863,2.6
-2.498630137,3.4
-2.495890411,3.9
-2.493150685,7
-2.490410959,7.8
-2.487671233,5.3
-2.484931507,2.4
-2.482191781,2.8
-2.479452055,4
-2.476712329,7.5
-2.473972603,7.8
-2.471232877,5.6
-2.468493151,3.3
-2.465753425,5
-2.463013699,3.7
-2.460273973,3.9
-2.457534247,5.2
-2.454794521,0.2
-2.452054795,0.8
-2.449315068,0.9
-2.446575342,3.5
-2.443835616,6.6
-2.44109589,9.5
-2.438356164,9
-2.435616438,3.5
-2.432876712,4.5
-2.430136986,5.7
-2.42739726,5.6
-2.424657534,7.1
-2.421917808,9.7
-2.419178082,8.3
-2.416438356,9.1
-2.41369863,2.8
-2.410958904,2.2
-2.408219178,4.5
-2.405479452,3.8
-2.402739726,3.8
-2.4,6.2
-2.397260274,11.5
-2.394520548,10.2
-2.391780822,7.9
-2.389041096,9
-2.38630137,9.5
-2.383561644,6
-2.380821918,8.2
-2.378082192,9.2
-2.375342466,4.3
-2.37260274,6.6
-2.369863014,9.4
-2.367123288,13.2
-2.364383562,6.6
-2.361643836,5.1
-2.35890411,12.1
-2.356164384,11.2
-2.353424658,8.5
-2.350684932,4.6
-2.347945205,7
-2.345205479,14.2
-2.342465753,12.7
-2.339726027,7.6
-2.336986301,4
-2.334246575,10
-2.331506849,10.5
-2.328767123,5
-2.326027397,4.5
-2.323287671,8.2
-2.320547945,4.3
-2.317808219,9.8
-2.315068493,5.8
-2.312328767,5
-2.309589041,8.5
-2.306849315,9
-2.304109589,3.6
-2.301369863,6.7
-2.298630137,6.7
-2.295890411,10.1
-2.293150685,15
-2.290410959,8.9
-2.287671233,5.7
-2.284931507,4.2
-2.282191781,4
-2.279452055,5.3
-2.276712329,6.3
-2.273972603,8.5
-2.271232877,11.5
-2.268493151,7.7
-2.265753425,9.2
-2.263013699,7.8
-2.260273973,6.3
-2.257534247,6.3
-2.254794521,8.6
-2.252054795,6.1
-2.249315068,13.2
-2.246575342,9.9
-2.243835616,4.7
-2.24109589,5.8
-2.238356164,14.9
-2.235616438,10.7
-2.232876712,8.6
-2.230136986,9.4
-2.22739726,5.7
-2.224657534,10.9
-2.221917808,13.1
-2.219178082,10.4
-2.216438356,8.2
-2.21369863,9.8
-2.210958904,7.5
-2.208219178,5.8
-2.205479452,9.8
-2.202739726,7.9
-2.2,8.7
-2.197260274,10
-2.194520548,10.6
-2.191780822,8
-2.189041096,10.2
-2.18630137,15.1
-2.183561644,13.9
-2.180821918,9.2
-2.178082192,9
-2.175342466,13.2
-2.17260274,7
-2.169863014,10.6
-2.167123288,6.9
-2.164383562,9.5
-2.161643836,12.5
-2.15890411,13.6
-2.156164384,17.7
-2.153424658,16
-2.150684932,11.3
-2.147945205,10.5
-2.145205479,14.4
-2.142465753,10.3
-2.139726027,9
-2.136986301,11.1
-2.134246575,14.5
-2.131506849,18
-2.128767123,12.8
-2.126027397,10.7
-2.123287671,9.1
-2.120547945,8.7
-2.117808219,12.4
-2.115068493,12.6
-2.112328767,10.3
-2.109589041,13.7
-2.106849315,16
-2.104109589,15.8
-2.101369863,12.1
-2.098630137,12.5
-2.095890411,12.2
-2.093150685,13.7
-2.090410959,16.1
-2.087671233,15.5
-2.084931507,10.3
-2.082191781,10.5
-2.079452055,11
-2.076712329,11.9
-2.073972603,13
-2.071232877,12.2
-2.068493151,10.6
-2.065753425,13
-2.063013699,13
-2.060273973,12.2
-2.057534247,12.6
-2.054794521,18.7
-2.052054795,15.2
-2.049315068,15.3
-2.046575342,13.9
-2.043835616,15.8
-2.04109589,13
-2.038356164,13
-2.035616438,13.7
-2.032876712,12
-2.030136986,10.8
-2.02739726,15.6
-2.024657534,15.3
-2.021917808,13.9
-2.019178082,13
-2.016438356,15.3
-2.01369863,16.3
-2.010958904,15.8
-2.008219178,17.7
-2.005479452,16.3
-2.002739726,18.4
-2,15
-1.997260274,10.9
-1.994520548,11.4
-1.991780822,14.8
-1.989041096,12.1
-1.98630137,12.8
-1.983561644,16.2
-1.980821918,15.5
-1.978082192,13
-1.975342466,10.5
-1.97260274,9.1
-1.969863014,10.5
-1.967123288,11.8
-1.964383562,12.7
-1.961643836,12.7
-1.95890411,11.5
-1.956164384,13.8
-1.953424658,13.3
-1.950684932,11.6
-1.947945205,15.4
-1.945205479,12.4
-1.942465753,16.9
-1.939726027,14.7
-1.936986301,10.6
-1.934246575,15.6
-1.931506849,10.7
-1.928767123,12.6
-1.926027397,13.8
-1.923287671,14.3
-1.920547945,14
-1.917808219,18.1
-1.915068493,17.3
-1.912328767,13
-1.909589041,16
-1.906849315,14.9
-1.904109589,16.2
-1.901369863,20.3
-1.898630137,22.5
-1.895890411,17.2
-1.893150685,15.9
-1.890410959,16.8
-1.887671233,13.8
-1.884931507,12.8
-1.882191781,14
-1.879452055,17.5
-1.876712329,21.5
-1.873972603,16.8
-1.871232877,13.6
-1.868493151,14.5
-1.865753425,14.2
-1.863013699,15.7
-1.860273973,19.7
-1.857534247,17.4
-1.854794521,14.4
-1.852054795,16.9
-1.849315068,19.1
-1.846575342,20.4
-1.843835616,20.1
-1.84109589,19.9
-1.838356164,22
-1.835616438,20.5
-1.832876712,22.1
-1.830136986,20.6
-1.82739726,15
-1.824657534,20.6
-1.821917808,21.5
-1.819178082,16.2
-1.816438356,14.1
-1.81369863,14.5
-1.810958904,21.1
-1.808219178,15.9
-1.805479452,15.2
-1.802739726,13.1
-1.8,13.2
-1.797260274,12.5
-1.794520548,15.2
-1.791780822,17.6
-1.789041096,15.5
-1.78630137,16.7
-1.783561644,16.3
-1.780821918,15.1
-1.778082192,12.7
-1.775342466,10
-1.77260274,11.4
-1.769863014,12.6
-1.767123288,10.7
-1.764383562,10
-1.761643836,13.9
-1.75890411,13.4
-1.756164384,12.5
-1.753424658,12.8
-1.750684932,7.8
-1.747945205,11.1
-1.745205479,10.7
-1.742465753,7.1
-1.739726027,6.7
-1.736986301,5.7
-1.734246575,9.1
-1.731506849,15.2
-1.728767123,15.5
-1.726027397,11.1
-1.723287671,11.7
-1.720547945,11.5
-1.717808219,9.8
-1.715068493,6.2
-1.712328767,6.7
-1.709589041,7.5
-1.706849315,8.8
-1.704109589,8
-1.701369863,10.4
-1.698630137,14.5
-1.695890411,16.5
-1.693150685,14.1
-1.690410959,10.5
-1.687671233,12.6
-1.684931507,13
-1.682191781,8.7
-1.679452055,10.1
-1.676712329,12
-1.673972603,12.5
-1.671232877,13.5
-1.668493151,13.7
-1.665753425,13.5
-1.663013699,10.7
-1.660273973,13
-1.657534247,11.6
-1.654794521,13
-1.652054795,11.2
-1.649315068,13.5
-1.646575342,12.9
-1.643835616,6.8
-1.64109589,10
-1.638356164,14.5
-1.635616438,11.7
-1.632876712,6.7
-1.630136986,4.6
-1.62739726,4.9
-1.624657534,7.4
-1.621917808,8.3
-1.619178082,7.5
-1.616438356,6.2
-1.61369863,7.8
-1.610958904,13.2
-1.608219178,11.9
-1.605479452,6.5
-1.602739726,8.3
-1.6,12.1
-1.597260274,9.3
-1.594520548,7.5
-1.591780822,9.3
-1.589041096,11
-1.58630137,10.8
-1.583561644,5.3
-1.580821918,7.6
-1.578082192,5.6
-1.575342466,7.2
-1.57260274,9.6
-1.569863014,7
-1.567123288,8.3
-1.564383562,7.8
-1.561643836,4.7
-1.55890411,6.8
-1.556164384,7.2
-1.553424658,8.3
-1.550684932,9.5
-1.547945205,4.7
-1.545205479,3
-1.542465753,1.5
-1.539726027,2.5
-1.536986301,6.2
-1.534246575,11.6
-1.531506849,6.6
-1.528767123,6.6
-1.526027397,8
-1.523287671,7.9
-1.520547945,3.3
-1.517808219,3.9
-1.515068493,6
-1.512328767,4
-1.509589041,5.5
-1.506849315,8.5
-1.504109589,9.8
-1.501369863,9.5
-1.498630137,7.2
-1.495890411,8.1
-1.493150685,8
-1.490410959,8.5
-1.487671233,8.8
-1.484931507,8.3
-1.482191781,2.4
-1.479452055,4.9
-1.476712329,5.9
-1.473972603,6.7
-1.471232877,8.4
-1.468493151,6.5
-1.465753425,7.9
-1.463013699,4.1
-1.460273973,5.4
-1.457534247,7.5
-1.454794521,3.9
-1.452054795,2.5
-1.449315068,5.3
-1.446575342,6.6
-1.443835616,0
-1.44109589,0.7
-1.438356164,7.6
-1.435616438,12.3
-1.432876712,9.2
-1.430136986,9.6
-1.42739726,9.5
-1.424657534,10
-1.421917808,7.7
-1.419178082,8
-1.416438356,8.3
-1.41369863,8.3
-1.410958904,4.5
-1.408219178,6.5
-1.405479452,9.4
-1.402739726,9.4
-1.4,10.5
-1.397260274,10.7
-1.394520548,9.9
-1.391780822,7.6
-1.389041096,5.8
-1.38630137,8.5
-1.383561644,13.8
-1.380821918,14.3
-1.378082192,8.3
-1.375342466,5.3
-1.37260274,3
-1.369863014,5.2
-1.367123288,10.3
-1.364383562,11.1
-1.361643836,10.5
-1.35890411,9
-1.356164384,13
-1.353424658,6.4
-1.350684932,8.4
-1.347945205,6.7
-1.345205479,8.3
-1.342465753,11.2
-1.339726027,10
-1.336986301,10.1
-1.334246575,10.6
-1.331506849,10.9
-1.328767123,5.7
-1.326027397,9.5
-1.323287671,10.4
-1.320547945,11.1
-1.317808219,12.2
-1.315068493,10.6
-1.312328767,8.8
-1.309589041,9.2
-1.306849315,5.5
-1.304109589,7.1
-1.301369863,6.5
-1.298630137,4.3
-1.295890411,5
-1.293150685,11.2
-1.290410959,7.5
-1.287671233,12
-1.284931507,13.6
-1.282191781,8.3
-1.279452055,8.5
-1.276712329,12.9
-1.273972603,7.7
-1.271232877,7.6
-1.268493151,3.5
-1.265753425,10.4
-1.263013699,15.4
-1.260273973,10.6
-1.257534247,9.6
-1.254794521,9.3
-1.252054795,13.9
-1.249315068,7.7
-1.246575342,9.5
-1.243835616,7.6
-1.24109589,6.9
-1.238356164,6.8
-1.235616438,5.8
-1.232876712,6
-1.230136986,8.3
-1.22739726,9.1
-1.224657534,12.5
-1.221917808,13.2
-1.219178082,16.2
-1.216438356,12.5
-1.21369863,11.8
-1.210958904,10.6
-1.208219178,10
-1.205479452,12.2
-1.202739726,8.9
-1.2,10.3
-1.197260274,7.5
-1.194520548,11.6
-1.191780822,12.6
-1.189041096,12.9
-1.18630137,11.7
-1.183561644,14
-1.180821918,12.3
-1.178082192,9
-1.175342466,9.2
-1.17260274,9.8
-1.169863014,11.8
-1.167123288,10.6
-1.164383562,12.6
-1.161643836,11
-1.15890411,8.2
-1.156164384,7.5
-1.153424658,13.6
-1.150684932,14.8
-1.147945205,10.9
-1.145205479,7.7
-1.142465753,10.2
-1.139726027,10.8
-1.136986301,10.8
-1.134246575,12.5
-1.131506849,13.2
-1.128767123,8.7
-1.126027397,5.7
-1.123287671,9.8
-1.120547945,7.3
-1.117808219,10.8
-1.115068493,10
-1.112328767,16.2
-1.109589041,15
-1.106849315,14.5
-1.104109589,15.9
-1.101369863,14.9
-1.098630137,14.2
-1.095890411,15.8
-1.093150685,17.2
-1.090410959,17.6
-1.087671233,12.1
-1.084931507,11.4
-1.082191781,13
-1.079452055,13.2
-1.076712329,12
-1.073972603,15.3
-1.071232877,12.7
-1.068493151,12.1
-1.065753425,13.8
-1.063013699,10.9
-1.060273973,12
-1.057534247,16.5
-1.054794521,15
-1.052054795,11.2
-1.049315068,13.9
-1.046575342,15
-1.043835616,14.8
-1.04109589,15
-1.038356164,13.3
-1.035616438,20.4
-1.032876712,18
-1.030136986,12.2
-1.02739726,16.7
-1.024657534,13.8
-1.021917808,17.5
-1.019178082,15
-1.016438356,13.9
-1.01369863,11.1
-1.010958904,16.1
-1.008219178,20.4
-1.005479452,18
-1.002739726,19.5
-1,17.1
-0.997260274,17.1
-0.994520548,12
-0.991780822,11
-0.989041096,16.3
-0.98630137,16.1
-0.983561644,13
-0.980821918,13.4
-0.978082192,15.2
-0.975342466,12.5
-0.97260274,14.3
-0.969863014,16.5
-0.967123288,18.6
-0.964383562,18
-0.961643836,18.2
-0.95890411,11.4
-0.956164384,11.9
-0.953424658,12.2
-0.950684932,14.8
-0.947945205,13.1
-0.945205479,12.7
-0.942465753,10.5
-0.939726027,13.8
-0.936986301,18.8
-0.934246575,13.9
-0.931506849,11.2
-0.928767123,10.6
-0.926027397,14.7
-0.923287671,13.1
-0.920547945,12.1
-0.917808219,14.7
-0.915068493,11.1
-0.912328767,13
-0.909589041,15.6
-0.906849315,14.2
-0.904109589,15.5
-0.901369863,18
-0.898630137,15
-0.895890411,15.9
-0.893150685,15.5
-0.890410959,15.8
-0.887671233,16.6
-0.884931507,13.6
-0.882191781,13.8
-0.879452055,14.6
-0.876712329,15.6
-0.873972603,16.6
-0.871232877,14.3
-0.868493151,16.3
-0.865753425,18.9
-0.863013699,18.7
-0.860273973,14.5
-0.857534247,16.5
-0.854794521,14.1
-0.852054795,13.5
-0.849315068,11.7
-0.846575342,15.1
-0.843835616,11.2
-0.84109589,13.5
-0.838356164,12.6
-0.835616438,8.8
-0.832876712,10.5
-0.830136986,12.1
-0.82739726,14.5
-0.824657534,19.5
-0.821917808,14
-0.819178082,13.8
-0.816438356,10.5
-0.81369863,13.8
-0.810958904,11.4
-0.808219178,15.6
-0.805479452,11.1
-0.802739726,12.1
-0.8,14.2
-0.797260274,10.9
-0.794520548,14.2
-0.791780822,13.8
-0.789041096,15.1
-0.78630137,14
-0.783561644,12.1
-0.780821918,13.8
-0.778082192,16.6
-0.775342466,17.8
-0.77260274,9.4
-0.769863014,10.2
-0.767123288,7.4
-0.764383562,8.7
-0.761643836,14
-0.75890411,15.3
-0.756164384,11.1
-0.753424658,9.7
-0.750684932,10.3
-0.747945205,9.2
-0.745205479,8.2
-0.742465753,9.7
-0.739726027,12.4
-0.736986301,12.5
-0.734246575,9
-0.731506849,9.7
-0.728767123,10.1
-0.726027397,11.2
-0.723287671,12
-0.720547945,11.1
-0.717808219,10.8
-0.715068493,12.8
-0.712328767,9.8
-0.709589041,13.7
-0.706849315,11
-0.704109589,13.2
-0.701369863,13
-0.698630137,10.2
-0.695890411,13.2
-0.693150685,9.3
-0.690410959,11.1
-0.687671233,10.3
-0.684931507,8.7
-0.682191781,11.7
-0.679452055,12.5
-0.676712329,6.5
-0.673972603,9.6
-0.671232877,13.8
-0.668493151,14.7
-0.665753425,9.1
-0.663013699,4.8
-0.660273973,3.3
-0.657534247,3.5
-0.654794521,5.7
-0.652054795,5.5
-0.649315068,7
-0.646575342,9.5
-0.643835616,9.9
-0.64109589,4.9
-0.638356164,6.3
-0.635616438,4.8
-0.632876712,6.2
-0.630136986,7.1
-0.62739726,7.5
-0.624657534,9.4
-0.621917808,8.7
-0.619178082,9.5
-0.616438356,12.1
-0.61369863,9.5
-0.610958904,9.3
-0.608219178,8.5
-0.605479452,8
-0.602739726,9.8
-0.6,6.2
-0.597260274,7.3
-0.594520548,10.9
-0.591780822,10
-0.589041096,8.7
-0.58630137,9
-0.583561644,10.8
-0.580821918,12.4
-0.578082192,7.2
-0.575342466,7.2
-0.57260274,11.1
-0.569863014,9.3
-0.567123288,10.1
-0.564383562,3.9
-0.561643836,5
-0.55890411,8.2
-0.556164384,2.8
-0.553424658,4.3
-0.550684932,8.1
-0.547945205,11.1
-0.545205479,4.7
-0.542465753,5.3
-0.539726027,10
-0.536986301,5.6
-0.534246575,2.2
-0.531506849,7.1
-0.528767123,8.3
-0.526027397,8.6
-0.523287671,10.1
-0.520547945,8.3
-0.517808219,7.2
-0.515068493,7.7
-0.512328767,7.8
-0.509589041,9.1
-0.506849315,9.4
-0.504109589,7.8
-0.501369863,2.6
-0.498630137,2.4
-0.495890411,3.9
-0.493150685,1.3
-0.490410959,2.1
-0.487671233,7.4
-0.484931507,7.2
-0.482191781,8.8
-0.479452055,8.9
-0.476712329,8.8
-0.473972603,8
-0.471232877,0.7
-0.468493151,0.1
-0.465753425,0.9
-0.463013699,7.8
-0.460273973,7.2
-0.457534247,8
-0.454794521,4.6
-0.452054795,5.2
-0.449315068,5.8
-0.446575342,6.8
-0.443835616,8.1
-0.44109589,7.5
-0.438356164,5.4
-0.435616438,4.6
-0.432876712,6.4
-0.430136986,9.7
-0.42739726,7
-0.424657534,10
-0.421917808,10.6
